,Cycle,EL1939 CD / Control-43622,EL1939 CD / Control-43623,EL1939 CD / Control-43624,EL1939 CD / Control-43625,EL1939 CD / Control-43626,EL1939 CD / Control-43627,EL1939 CD / Control-43628,EL1939 CD / Control-43629,EL1986 / 420uL-43631,EL1986 / 420uL-43632,EL1986 / 420uL-43633,EL1986 / 420uL-43634,EL1986 / 420uL-43635,EL1986 / 420uL-43636,EL1986 / 420uL-43637,EL1986 / 600uL-43638,EL1986 / 600uL-43639,EL1986 / 600uL-43640,EL1986 / 600uL-43641,EL1986 / 600uL-43642,EL1986 / 600uL-43643,EL1986 / 600uL-43644,EL1986 / 600uL-43645,EL1986/350uL-43646,EL1986/350uL-43647,EL1986/350uL-43649,EL1986/350uL-43650,EL1986/350uL-43651,EL1986/350uL-43652,EL1986/350uL-43653
0,2,95.80666806,96.17182553,96.64447283,95.88823704,96.3647209,95.93959497,97.07957968,96.34541513,97.31889448,96.37775179,96.39723995,96.42843545,96.65827544,96.63889557,96.90053536,96.72321832,96.21591541,95.95649749,96.75977654,96.9874477,96.56328583,96.77961355,96.85658153,97.18613589,96.78738369,97.106827,96.03093227,95.96271376,96.61683346,96.75742511
1,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,4,99.5540671,99.71697984,99.93655999,99.63137604,99.46915395,99.52381322,99.5446526,99.85901503,99.62167113,100.0543231,99.88902202,99.50947494,99.99954622,99.55535762,99.29557622,99.94866838,99.97217585,99.86056888,99.97206704,99.69316597,99.74853311,99.83197984,99.85966882,99.6909911,99.49214202,99.53260366,99.65213886,99.65899824,99.6923011,99.66571865
3,5,99.98006274,100.1517895,100.0013586,99.77518051,99.35418729,99.47209963,99.6836804,100.1612288,100.0516138,100.3015267,100.2227495,99.99045317,100.3034116,99.49980218,99.46463793,100.2501425,100.2782415,99.94422755,100.3351955,99.72105997,99.74853311,100.0560067,100.0841987,99.80335281,99.38368181,99.48109914,99.41261959,99.47752501,99.88964873,99.62831874
4,6,100.2510093,100.4090273,100.1335623,100.2601316,99.51502953,99.48153236,100.1120589,100.7692109,100.1360309,100.9910591,100.7201666,100.1491408,101.0220925,99.36119759,99.29557622,101.1230067,100.6399555,100.1115449,100.6703911,99.52580195,99.80441464,100.0560067,100.3087286,99.88908463,99.60165111,99.68766392,99.25640769,99.42588881,100.0836438,99.71576642
5,7,100.7303934,100.8712395,100.5557101,100.6338954,99.37484796,99.64821438,100.3469699,100.8582672,100.1437443,100.9369606,100.8785284,100.3338832,100.9969642,99.048542,99.69005354,100.8440255,100.7790762,100.1673173,100.8379888,98.74476987,99.55294775,99.57994959,100.5613247,100.1663305,99.90372952,100.2164341,99.30399579,99.50099089,100.3946389,100.2539874
6,8,100.4252171,100.499587,100.1350041,100.4578627,98.25128491,99.24094208,100.0519855,100.4694408,99.42588293,100.4664039,100.4502033,99.71464648,100.6082979,98.03789302,99.21104536,100.1373376,100.4730106,99.58170664,100,97.46164575,98.35149483,98.31979838,99.94386753,99.69232401,99.80252645,100.6600348,98.71627708,98.87625763,100.0112971,100.4300274
7,9,100.0853382,99.60371032,98.89526216,99.61837363,95.65792587,97.51042317,98.7357256,99.08277848,97.99279816,98.83940577,99.47373313,98.36527637,99.08931156,96.47222924,98.30938292,97.96962483,99.13745131,98.32682655,98.24022346,94.67224547,96.78681196,95.93951274,98.37215829,98.46763234,99.78554588,100.7755603,97.56034851,97.925143,99.1440663,100.4398424
8,10,98.93884822,98.23224134,96.78474512,97.99907316,93.91665306,95.40270575,97.07269104,98.62747227,96.79547359,98.27103391,98.64190841,97.18175397,98.28775826,94.19425717,97.04142012,96.58412437,97.74624374,96.90462911,96.67597765,91.91073919,94.8868399,92.74712966,96.71625035,97.3963958,99.50745005,100.4613539,96.3626112,97.0076074,97.96910841,100.179903
9,11,98.80084454,97.38346019,94.19590485,95.92799442,93.7069361,93.95350437,95.60521573,98.59634283,95.55961074,98.10615669,98.50355436,96.4005053,97.98321225,92.63870471,95.66074951,95.75919238,96.49415693,95.39877301,95.1396648,89.87447699,93.12657167,90.08681042,94.9761437,96.43981813,98.91106065,99.98411704,95.18723015,96.0564646,97.07390239,99.91547106
10,12,98.40999633,96.19601576,94.16709621,94.90961101,92.69689568,93.45257053,95.76259464,99.09013736,94.45650996,98.38080241,98.66973793,95.34023925,97.90033988,91.47204036,94.59002536,94.34927258,95.24207012,93.41885109,93.18435754,88.22873082,92.26040794,88.18258191,93.37636823,96.58085166,98.62173893,99.42027201,94.22906849,95.30662693,96.37452269,99.445497
11,13,98.92711387,97.6278486,95.37969315,97.14252534,93.90554517,94.6420942,98.00034248,99.28438394,95.45179533,98.14055755,98.85162165,95.79036077,98.04016218,91.65500977,94.81544097,95.06564895,96.10461881,93.11210262,93.60335196,87.14086471,92.81922325,87.17446094,94.19028908,97.42455713,99.40074743,99.80293046,94.925411,95.82020009,97.15782795,99.7929699
12,14,98.49472274,97.39362791,95.85646366,97.41049172,94.5475812,94.88268449,98.1703552,99.01274419,95.35384388,97.63767641,98.27241636,94.97322626,97.51519043,91.23203856,94.30825585,94.17199152,95.43683918,92.163971,92.65363128,86.13668061,92.62363789,86.11033324,93.68509683,97.08693314,99.39510614,100.1625126,95.10922287,95.75123914,97.18580314,100.1675413
13,15,97.88128347,97.1517535,95.7720341,97.23056945,94.51681235,94.75095909,98.15914373,98.48715376,95.0820114,96.73483612,97.88620393,94.11969448,97.01954449,90.0607446,93.49112426,93.06586878,94.57429048,90.85331846,91.45251397,84.18410042,91.64571109,83.92607113,92.73084479,96.6931283,99.37543249,100.0587554,95.04517064,95.5670334,96.93402645,99.97793777
14,16,97.29884845,97.26046989,95.74433456,97.11079723,94.73419375,94.68382019,98.2842548,97.85526228,94.99515691,95.74725635,97.53337558,93.42357168,96.2980274,89.1412963,92.87123133,92.06376906,93.98998331,89.65421082,90.41899441,82.53835425,90.63984353,82.44189303,91.97305641,96.3557879,99.29106825,100.2431934,94.91703798,95.48114208,96.43044489,100.1850823
15,17,97.15603425,97.28393386,95.77247774,97.05286981,94.92458298,94.71500371,98.46096094,97.53102739,94.96140724,95.12231668,97.20089508,92.92892672,95.91333173,88.80617427,92.44857706,91.04076274,93.35002782,88.42721695,89.3575419,81.64574616,90.19279128,81.37776533,91.15913556,96.13049727,99.42886884,100.3238742,94.96719155,95.46646534,96.29059713,100.2584228
16,18,96.67968104,97.00236623,96.03075731,96.94423854,95.24493452,94.888899,97.93477491,96.51075382,95.20433601,93.63640139,96.03749673,92.96935866,94.42128884,88.05211419,92.25133841,90.07033452,93.09961046,87.59063023,88.77094972,81.19944212,89.63397597,80.9017082,90.79427449,96.21543502,99.43167531,100.7723664,95.18443914,95.61858509,95.89894449,100.5418265
