Cycle,EL1939 CD / Control,EL1986 / 420uL,EL1986 / 600uL,EL1986/350uL
0,8,7,8,7
1,8,7,8,7
2,8,7,8,7
3,8,7,8,7
4,8,7,8,7
5,8,7,8,7
6,8,7,8,7
7,8,7,8,7
8,8,7,8,7
9,8,7,8,7
10,8,7,8,7
11,8,7,8,7
12,8,7,8,7
13,8,7,8,7
14,8,7,8,7
15,8,7,8,7
16,8,7,8,7
17,8,7,8,7
18,8,7,6,7
19,8,7,6,7
20,8,7,6,7
21,8,7,6,7
22,8,7,6,7
23,8,7,6,7
24,8,7,6,7
25,8,7,6,7
26,8,7,6,7
27,8,7,6,7
28,8,7,6,7
29,8,7,6,7
30,8,7,5,7
31,8,7,5,7
32,8,7,5,7
33,8,7,5,7
34,8,7,5,7
35,8,7,5,7
36,8,7,5,7
37,8,7,5,7
38,8,7,5,7
39,8,7,5,7
40,8,7,5,7
41,8,7,5,7
42,8,7,5,7
43,8,7,5,7
44,8,7,5,7
45,8,7,5,7
46,8,7,5,7
47,8,7,5,7
48,8,7,5,7
49,8,7,5,7
50,8,7,5,7
51,8,7,5,7
52,8,7,5,7
53,8,7,4,7
54,8,7,4,7
55,8,7,3,7
56,8,7,3,7
57,8,7,3,7
58,8,7,3,7
59,8,7,3,7
60,8,7,3,7
61,8,7,3,7
62,8,7,3,7
63,8,7,3,7
64,8,7,3,7
65,8,7,3,7
66,8,7,3,7
67,8,7,3,7
68,8,7,3,7
69,8,7,3,7
70,8,7,3,7
71,8,7,3,7
72,8,7,3,7
73,8,7,3,7
74,8,7,3,7
75,8,7,3,7
76,8,7,3,7
77,8,7,3,7
78,8,7,3,7
79,8,7,3,7
80,8,7,3,7
81,8,7,2,7
82,8,7,2,7
83,8,7,2,7
84,8,7,2,7
85,8,7,2,7
86,8,7,2,7
87,8,7,2,7
88,8,7,2,7
89,8,7,2,7
90,8,7,2,7
91,8,7,2,7
92,8,7,2,7
93,8,7,2,7
94,8,7,2,7
95,8,7,2,7
96,8,7,2,7
97,8,7,2,7
98,8,7,2,7
99,8,7,2,7
100,8,7,2,7
101,8,7,2,7
102,8,7,2,7
103,8,7,2,7
104,8,7,2,7
105,8,7,2,7
106,8,7,2,7
107,8,7,2,7
108,8,7,2,7
109,8,7,2,7
110,8,7,2,7
111,8,7,2,7
112,8,7,2,7
113,8,7,2,7
114,8,7,2,7
115,8,7,2,7
116,8,7,2,7
117,8,7,2,7
118,8,7,2,7
119,8,7,2,7
120,8,7,2,7
121,8,7,2,7
122,8,7,2,7
123,8,7,2,7
124,8,7,2,7
125,8,7,2,7
126,8,7,2,7
127,8,7,2,7
128,8,7,2,7
129,8,7,2,7
130,8,7,2,7
131,8,7,2,7
132,8,7,2,7
133,8,7,2,7
134,8,7,2,7
135,8,7,2,7
136,8,7,2,7
137,8,7,2,7
138,8,7,2,7
139,8,7,2,7
140,8,7,2,7
141,8,7,2,7
142,8,7,2,7
143,8,7,2,7
144,8,7,2,7
145,8,7,2,7
146,8,7,2,7
147,8,7,2,7
148,8,7,2,7
149,8,7,2,7
150,8,7,2,7
151,8,7,2,7
152,8,7,2,7
153,8,7,2,7
154,8,7,2,7
155,8,7,2,7
156,8,7,2,7
157,8,7,2,7
158,8,7,2,7
159,8,7,2,7
160,8,7,2,7
161,8,7,2,7
162,8,7,2,7
163,8,7,2,7
164,8,7,2,7
165,8,7,2,7
166,8,7,2,7
167,8,7,2,7
168,8,7,2,7
169,8,7,2,7
170,8,7,2,7
171,8,7,2,7
172,8,7,2,7
173,8,7,2,7
174,8,7,2,7
175,8,7,2,7
176,8,7,2,7
177,8,7,2,7
178,8,7,2,7
179,8,7,2,7
180,8,7,2,7
181,8,7,2,7
182,8,7,2,7
183,8,7,2,7
184,8,7,2,7
185,8,7,2,7
186,8,7,2,7
187,8,7,2,7
188,8,7,2,7
189,8,7,2,7
190,8,7,2,7
191,8,7,2,7
192,8,7,2,7
193,8,7,2,7
194,8,7,2,7
195,8,7,2,7
196,8,7,2,7
197,8,7,2,7
198,8,7,2,7
199,8,7,2,7
200,8,7,2,7
